simp.id	name
Solyc09g014380	SlLAX1
Solyc01g111310	SlLAX2
Solyc11g013310	SlLAX3
Solyc10g076790	SlLAX4
Solyc10g055260	SlLAX5
Solyc03g118740	SlPIN1
Solyc07g006900	SlPIN2
Solyc04g007690	SlPIN3
Solyc05g008060	SlPIN4
Solyc01g068410	SlPIN5
Solyc06g059730	SlPIN6
Solyc10g080880	SlPIN7
Solyc02g087660	SlPIN8
Solyc10g078370	SlPIN9
Solyc04g056620	SlPIN10
