simp.id	name
Solyc11g010470	SlTFT1
Solyc12g057110	SlTFT2
Solyc04g074510	SlTFT3
Solyc02g063070	SlTFT4
Solyc04g012120	SlTFT5
Solyc11g010200	SlTFT6
Solyc04g074230	SlTFT7
Solyc12g010860	SlTFT8
Solyc07g053260	SlTFT9
Solyc04g076060	SlTFT10
Solyc03g034180	SlTFT11
Solyc05g012420	SlTFT12
Solyc01g010360	SlTFT13
